1,netflix.com
2,api-global.netflix.com
3,google.com
4,microsoft.com
5,www.google.com
6,facebook.com
7,doubleclick.net
8,g.doubleclick.net
9,ichnaea.netflix.com
10,googleads.g.doubleclick.net
11,safebrowsing.googleapis.com
12,google-analytics.com
13,clients4.google.com
14,data.microsoft.com
15,apple.com
16,www.googleapis.com
17,www.facebook.com
18,live.com
19,settings-win.data.microsoft.com
20,youtube.com
21,hola.org
22,dns-test1.hola.org
23,www.google-analytics.com
24,googleadservices.com
25,clientservices.googleapis.com
26,fonts.googleapis.com
27,googlesyndication.com
28,googleusercontent.com
29,www.googleadservices.com
30,amazonaws.com
31,fbcdn.net
32,graph.facebook.com
33,pagead2.googlesyndication.com
34,www.youtube.com
35,update.googleapis.com
36,xx.fbcdn.net
37,ytimg.com
38,adservice.google.com
39,bing.com
40,clients1.google.com
41,accounts.google.com
42,vortex-win.data.microsoft.com
43,akadns.net
44,yahoo.com
45,akamaiedge.net
46,i.ytimg.com
47,nrdp50-appboot.netflix.com
48,play.google.com
49,apis.google.com
50,com.akadns.net
51,icloud.com
52,skype.com
53,facebook.net
54,connect.facebook.net
55,mtalk.google.com
56,secure.netflix.com
57,www.apple.com
58,twitter.com
59,officeapps.live.com
60,play.googleapis.com
61,digicert.com
62,msedge.net
63,stats.g.doubleclick.net
64,msn.com
65,securepubads.g.doubleclick.net
66,v10.vortex-win.data.microsoft.com
67,scorecardresearch.com
68,tpc.googlesyndication.com
69,lh3.googleusercontent.com
70,ocsp.digicert.com
71,clients.google.com
72,itunes.apple.com
73,crl.microsoft.com
74,nflximg.com
75,android.clients.google.com
76,cm.g.doubleclick.net
77,push.apple.com
78,ggpht.com
79,l.google.com
80,adnxs.com
81,googlevideo.com
82,ipv6.microsoft.com
83,googletagmanager.com
84,www.googletagmanager.com
85,ssl.google-analytics.com
86,cdn-0.nflximg.com
87,clients3.google.com
88,2mdn.net
89,ls.apple.com
90,nexusrules.officeapps.live.com
91,clients2.google.com
92,edge.skype.com
93,googletagservices.com
94,www.googletagservices.com
95,static.xx.fbcdn.net
96,login.live.com
97,nccp.netflix.com
98,apple-dns.net
99,notifications.google.com
100,time-ios.apple.com
101,fe.apple-dns.net
102,s0.2mdn.net
103,crashlytics.com
104,instagram.com
105,office365.com
106,ad.doubleclick.net
107,edge-mqtt.facebook.com
108,ajax.googleapis.com
109,client-office365-tas.msedge.net
110,mp.microsoft.com
111,config.edge.skype.com
112,nrdp.nccp.netflix.com
113,rubiconproject.com
114,www.icloud.com
115,www.bing.com
116,sb.scorecardresearch.com
117,moatads.com
118,aaplimg.com
119,g.aaplimg.com
120,weather.microsoft.com
121,nexus.officeapps.live.com
122,demdex.net
123,ntp.org
124,pool.ntp.org
125,customerevents.netflix.com
126,advertising.com
127,init-p01st.push.apple.com
128,outlook.office365.com
129,bluekai.com
130,scontent.xx.fbcdn.net
131,dsce9.akamaiedge.net
132,msftncsi.com
133,googleads4.g.doubleclick.net
134,openx.net
135,symcd.com
136,adsrvr.org
137,translate.googleapis.com
138,init.itunes.apple.com
139,settings.crashlytics.com
140,casalemedia.com
141,staticxx.facebook.com
142,mathtag.com
143,ib.adnxs.com
144,dpm.demdex.net
145,windowsupdate.com
146,tile-service.weather.microsoft.com
147,e6858.dsce9.akamaiedge.net
148,cloudflare.com
149,adobe.com
150,addthis.com
151,agkn.com
152,ogs.google.com
153,criteo.com
154,s.ytimg.com
155,outlook.com
156,nflxvideo.net
157,akamai.net
158,aria.microsoft.com
159,pipe.aria.microsoft.com
160,c10r.facebook.com
161,rlcdn.com
162,oca.nflxvideo.net
163,1.oca.nflxvideo.net
164,yt3.ggpht.com
165,pubmatic.com
166,nflxso.net
167,a.akamaiedge.net
168,amazon-adsystem.com
169,cdnjs.cloudflare.com
170,tags.bluekai.com
171,ade.googlesyndication.com
172,everesttech.net
173,onenote.net
174,pixel.rubiconproject.com
175,bidswitch.net
176,quantserve.com
177,cdn.onenote.net
178,xp.apple.com
179,windows.net
180,x.bidswitch.net
181,clients5.google.com
182,pubads.g.doubleclick.net
183,twimg.com
184,app-measurement.com
185,clients6.google.com
186,amazon.com
187,mail.google.com
188,windows.com
189,1.nflxso.net
